#EDL	Date	26.3.2019	Local Time	 3:23:35		
Rate (Hz)	Main array								Hub interface
128	element_1	element_2	element_3	element_4	element_5	element_6	element_7	element_8	element_1
Time	Gauge	Gauge	Gauge	Gauge	Gauge	Gauge	Gauge	Gauge	Digital Outputs
s	m	m	m	m	m	m	m	m	
02:51:36.563	-0.00135128	-0.00105062	-0.00174929	-0.00121750	-0.00115312	-0.00205533	-0.00159308	-0.00082895	0
02:51:36.570	-0.00135128	-0.00102185	-0.00178168	-0.00121750	-0.00118550	-0.00205533	-0.00163193	-0.00082895	0
02:51:36.578	-0.00130613	-0.00107939	-0.00178168	-0.00118629	-0.00118550	-0.00205533	-0.00167077	-0.00082895	0
02:51:36.586	-0.00126097	-0.00110817	-0.00181407	-0.00115508	-0.00115312	-0.00205533	-0.00169019	-0.00082895	0
02:51:36.594	-0.00121582	-0.00110817	-0.00181407	-0.00118629	-0.00121787	-0.00207772	-0.00172904	-0.00085371	0
02:51:36.602	-0.00121582	-0.00110817	-0.00181407	-0.00112387	-0.00121787	-0.00203294	-0.00176788	-0.00087848	0
02:51:36.609	-0.00119324	-0.00110817	-0.00181407	-0.00112387	-0.00125025	-0.00203294	-0.00180673	-0.00087848	0
02:51:36.617	-0.00117066	-0.00116571	-0.00174929	-0.00112387	-0.00125025	-0.00203294	-0.00182615	-0.00090325	0
02:51:36.625	-0.00112551	-0.00116571	-0.00181407	-0.00112387	-0.00128262	-0.00198816	-0.00184557	-0.00092802	0
02:51:36.633	-0.00112551	-0.00116571	-0.00178168	-0.00109266	-0.00131499	-0.00203294	-0.00188442	-0.00092802	0
02:51:36.641	-0.00108035	-0.00119448	-0.00178168	-0.00109266	-0.00128262	-0.00201055	-0.00194268	-0.00092802	0
02:51:36.648	-0.00108035	-0.00122325	-0.00181407	-0.00112387	-0.00131499	-0.00198816	-0.00194268	-0.00095278	0
02:51:36.656	-0.00105778	-0.00122325	-0.00181407	-0.00112387	-0.00134737	-0.00201055	-0.00198153	-0.00097755	0
02:51:36.664	-0.00103520	-0.00122325	-0.00178168	-0.00109266	-0.00134737	-0.00196577	-0.00200095	-0.00095278	0
02:51:36.672	-0.00103520	-0.00128079	-0.00178168	-0.00109266	-0.00137974	-0.00194337	-0.00207864	-0.00100232	0
02:51:36.680	-0.00105778	-0.00128079	-0.00181407	-0.00112387	-0.00141212	-0.00198816	-0.00205922	-0.00100232	0
02:51:36.688	-0.00103520	-0.00130956	-0.00178168	-0.00112387	-0.00141212	-0.00194337	-0.00207864	-0.00102709	0
02:51:36.695	-0.00103520	-0.00133833	-0.00184647	-0.00118629	-0.00137974	-0.00194337	-0.00213691	-0.00105186	0
02:51:36.703	-0.00103520	-0.00136710	-0.00181407	-0.00118629	-0.00144449	-0.00194337	-0.00213691	-0.00102709	0
02:51:36.711	-0.00105778	-0.00139587	-0.00187886	-0.00118629	-0.00147686	-0.00189859	-0.00215633	-0.00102709	0
02:51:36.719	-0.00105778	-0.00142464	-0.00187886	-0.00121750	-0.00147686	-0.00189859	-0.00217575	-0.00105186	0
02:51:36.727	-0.00105778	-0.00142464	-0.00184647	-0.00121750	-0.00150924	-0.00187620	-0.00219517	-0.00105186	0
02:51:36.734	-0.00105778	-0.00145341	-0.00187886	-0.00121750	-0.00150924	-0.00185381	-0.00223402	-0.00110139	0
02:51:36.742	-0.00105778	-0.00148218	-0.00187886	-0.00127993	-0.00150924	-0.00183141	-0.00223402	-0.00102709	0
02:51:36.750	-0.00108035	-0.00151096	-0.00191125	-0.00127993	-0.00154161	-0.00185381	-0.00225344	-0.00107662	0
02:51:36.758	-0.00108035	-0.00153973	-0.00187886	-0.00127993	-0.00154161	-0.00183141	-0.00227286	-0.00110139	0
02:51:36.766	-0.00108035	-0.00151096	-0.00187886	-0.00127993	-0.00157398	-0.00183141	-0.00225344	-0.00110139	0
02:51:36.773	-0.00105778	-0.00153973	-0.00187886	-0.00127993	-0.00154161	-0.00180902	-0.00227286	-0.00110139	0
02:51:36.781	-0.00108035	-0.00153973	-0.00187886	-0.00131114	-0.00157398	-0.00180902	-0.00229228	-0.00115093	0
02:51:36.789	-0.00108035	-0.00156850	-0.00184647	-0.00131114	-0.00154161	-0.00178663	-0.00231171	-0.00115093	0
02:51:36.797	-0.00108035	-0.00156850	-0.00181407	-0.00131114	-0.00157398	-0.00180902	-0.00231171	-0.00112616	0
